Initializing AFE4404...
Initialized Success!
PD4:1552067, PD2:1268201
PD4:1551955, PD2:1268621
PD4:1552399, PD2:1268411
PD4:1552306, PD2:1268010
PD4:1552141, PD2:1264241
PD4:1551935, PD2:1261745
PD4:1552169, PD2:1261718
PD4:1552173, PD2:1261836
PD4:1552023, PD2:1262082
PD4:1552141, PD2:1262860
PD4:1552064, PD2:1263452
PD4:1552174, PD2:1263667
PD4:1552356, PD2:1264139
PD4:1552249, PD2:1264513
PD4:1551681, PD2:1264810
PD4:1551851, PD2:1264903
PD4:1551558, PD2:1264458
PD4:1551638, PD2:1263535
PD4:1551302, PD2:1262580
PD4:1551354, PD2:1261229
PD4:1550579, PD2:1260940
PD4:1550652, PD2:1261459
PD4:1550484, PD2:1261955
PD4:1550193, PD2:1262870
PD4:1550115, PD2:1263868
PD4:1550124, PD2:1264627
PD4:1549750, PD2:1265484
PD4:1549572, PD2:1266844
PD4:1549417, PD2:1267648
PD4:1549389, PD2:1268076
PD4:1549149, PD2:1268229
PD4:1549248, PD2:1268185
PD4:1549047, PD2:1268725
PD4:1548839, PD2:1268204
PD4:1548561, PD2:1267411
PD4:1548776, PD2:1266378
PD4:1548701, PD2:1265161
PD4:1548539, PD2:1263911
PD4:1548429, PD2:1261373
PD4:1547999, PD2:1262583
PD4:1547851, PD2:1265593
PD4:1547126, PD2:1267961
PD4:1545916, PD2:1270400
PD4:1545941, PD2:1271644
PD4:1545520, PD2:1272721
PD4:1545490, PD2:1273862
PD4:1545265, PD2:1275366
PD4:1545025, PD2:1276361
PD4:1544578, PD2:1277316
PD4:1544515, PD2:1280222
PD4:1544435, PD2:1279964
PD4:1544294, PD2:1278511
PD4:1544185, PD2:1279785
PD4:1543927, PD2:1281873
PD4:1543499, PD2:1283282
PD4:1543807, PD2:1283471
PD4:1543728, PD2:1283029
PD4:1543703, PD2:1282807
PD4:1543158, PD2:1282783
PD4:1543245, PD2:1282646
PD4:1543299, PD2:1282811
PD4:1543132, PD2:1282887
PD4:1542964, PD2:1280952
PD4:1542775, PD2:1279428
PD4:1542533, PD2:1281552
PD4:1541795, PD2:1282816
PD4:1541480, PD2:1282486
PD4:1541354, PD2:1281780
PD4:1540749, PD2:1281253
PD4:1540718, PD2:1281347
PD4:1540226, PD2:1282191
PD4:1539951, PD2:1283554
PD4:1539983, PD2:1286373
PD4:1539143, PD2:1287307
PD4:1538480, PD2:1290153
PD4:1538313, PD2:1290233
PD4:1538013, PD2:1289829
PD4:1538071, PD2:1287868
PD4:1537880, PD2:1283802
PD4:1537591, PD2:1282865
PD4:1537750, PD2:1281654
PD4:1537708, PD2:1280971
PD4:1537411, PD2:1280058
PD4:1537090, PD2:1279457
PD4:1537033, PD2:1278481
PD4:1536754, PD2:1276736
PD4:1536741, PD2:1271452
PD4:1536339, PD2:1270274
PD4:1537020, PD2:1272354
PD4:1536644, PD2:1270058
PD4:1536589, PD2:1265621
PD4:1536533, PD2:1264487
PD4:1536724, PD2:1262791
PD4:1536574, PD2:1261350
PD4:1536858, PD2:1259644
PD4:1536632, PD2:1258400
PD4:1536404, PD2:1257055
PD4:1536347, PD2:1255880
PD4:1536347, PD2:1255045
PD4:1536376, PD2:1254292
PD4:1536671, PD2:1253550
PD4:1536644, PD2:1252855
PD4:1536634, PD2:1251817
PD4:1536678, PD2:1251071
PD4:1536680, PD2:1249548
PD4:1536790, PD2:1250072
PD4:1536932, PD2:1250359
PD4:1536856, PD2:1246574
PD4:1537041, PD2:1245994
PD4:1537117, PD2:1245385
PD4:1537577, PD2:1244519
PD4:1536947, PD2:1243133
PD4:1536940, PD2:1240098
PD4:1537054, PD2:1235997
PD4:1537083, PD2:1230706
PD4:1536922, PD2:1225064
PD4:1536993, PD2:1219428
